,rows_with_category,total_entity_strings,pct_of_rows
GPE,19503,50036,99.5
LOC,18898,38751,96.4
ORG,18141,28244,92.5
PERSON,11996,25044,61.2
DATE,6065,10932,30.9
MONEY,2200,5699,11.2
FAC,2811,3674,14.3
EVENT,2676,3403,13.6
PRODUCT,1073,2397,5.5
PERCENT,396,1083,2.0
QUANTITY,296,1075,1.5
TIME,509,933,2.6
CARDINAL,109,455,0.6
NORP,309,455,1.6
LAW,320,368,1.6
LANGUAGE,267,345,1.4
WORK_OF_ART,200,328,1.0
PHONE,9,15,0.0
PERIOD,4,8,0.0
ORDINAL,5,7,0.0
EMAIL,5,5,0.0
SOCIAL_MEDIA,1,3,0.0
WEBSITE,1,1,0.0
JOURNAL,1,1,0.0
